Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Thailand,THA,9.13512169945249,8.80547003185833,9.08958023322682,9.38890691156436,9.24420721607216,9.12915855641871,8.4584000395381,8.8335608600539,10.0691784738886,10.0945692247277,11.2469471209191,11.5228161293259,10.9182834461715,9.74110775392011,9.34276483885793,10.316518795322,10.9694081826277,10.6376701890489,11.1804585581126,11.9516911120827,12.2921076760429,12.7581025820836,13.0906673998454,12.8749636513441,13.1670830492867,13.5279694129657,12.7549303450319,11.3256811788169,10.0467751984605,9.52066541619023,9.40461513137137,9.22060819677098,9.89796925226476,11.0012606383598,11.0522649217016,11.2506028289929,11.584261126839,12.0838331235099,13.0644916690294,13.5690524039913,13.575965221645,13.4744970113195,13.1723845314163,12.9255475002545,13.1136902414944,13.6536233728387,13.5022624455935,13.9259484673327,14.3419509919152,15.9800519057133,15.8008150334771,16.1417809611223,16.3529827045331,16.3634854486488,16.9163611055347,17.1211512659094,16.8651827576018,16.2984037874409,16.1739664282364,16.1693520358071,17.7948874074302,18.2351747744466,17.7190156034668,16.6164810176384,16.6876494773007,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
